No.;Params;Barito_Putera;Borneo;Rata_Tim;;;;;;;;;;;;
1;AVG_Total;2,91;2,47;2,88;;;;;;;;;;;;
2;Goal_Match;1,50;1,56;1,44;;;;;;;;;;;;
3;Goal_Match_Home;1,65;1,94;1,67;;;;;;;;;;;;
4;Goal_Match_Away;1,35;1,18;1,21;;;;;;;;;;;;
5;Condeded_Goal;1,41;0,91;1,44;;;;;;;;;;;;
6;Condeded_Match_Home;1,06;0,94;1,21;;;;;;;;;;;;
7;Condeded_Match_Away;1,76;0,88;1,67;;;;;;;;;;;;
8;Clean_Sheets;8,00;13,00;7,61;;;;;;;;;;;;
9;CS_%;24,00;38,00;22,56;;;;;;;;;;;;
10;CS%_Home;41,00;35,00;27,78;;;;;;;;;;;;
11;CS%_Away;6,00;41,00;17,22;;;;;;;;;;;;
12;FTS;4,00;3,00;7,61;;;;;;;;;;;;
13;FTS_%;12,00;9,00;22,39;;;;;;;;;;;;
14;FTS%_Home;12,00;6,00;17,22;;;;;;;;;;;;
15;FTS%_Away;12,00;12,00;27,72;;;;;;;;;;;;
16;xG;1,49;1,35;1,32;;;;;;;;;;;;
17;xGA;1,32;1,16;1,36;;;;;;;;;;;;
