Borneo FC;Persib Bandung;Bali United;Madura United;Dewa United;PSIS Semarang;Persis Solo;Persija Jakarta;Persik Kediri;Barito Putera;PSM Makassar;Persebaya 1927;PSS Sleman;Persita;Arema FC;RANS;Bhayangkara FC;Persikabo 1973
13;12;4;11;10;9;3;7;8;5;6;1;2;16;18;17;15;14
5;10;18;6;2;9;12;11;13;3;15;4;7;8;13;1;17;16
4;10;18;5;2;11;13;12;14;1;7;5;8;9;14;3;17;16
2;15;7;10;1;4;12;8;13;3;14;11;9;5;17;6;18;16
7;11;4;2;1;7;14;5;16;10;6;13;12;3;17;9;18;15
7;12;5;1;3;11;14;2;13;4;9;16;15;6;18;8;17;10
9;16;5;1;6;8;11;3;15;2;7;14;12;10;18;4;17;13
6;16;5;1;9;4;14;7;10;3;11;12;8;13;18;2;17;15
3;13;7;1;11;6;10;9;14;2;12;8;5;15;18;4;17;16
2;11;3;1;8;7;14;12;13;4;10;9;6;15;17;5;18;16
3;11;8;1;9;5;14;12;13;2;10;6;7;15;16;4;18;17
2;6;9;1;10;7;13;11;14;4;5;8;12;15;16;3;18;17
2;5;12;1;13;4;9;8;14;7;10;6;11;15;16;3;18;17
1;3;7;2;11;4;10;9;13;8;12;6;14;15;16;5;18;17
1;3;6;2;9;5;11;10;12;7;13;8;14;15;16;4;18;17
1;4;6;2;7;5;13;11;12;8;10;9;14;15;16;3;18;17
1;2;6;3;8;5;10;13;9;7;12;11;14;15;16;4;18;17
1;2;3;4;8;5;11;9;10;7;13;12;14;15;16;6;18;17
1;2;4;6;10;3;11;8;9;7;12;13;14;15;16;5;18;17
1;3;2;6;11;4;12;8;10;7;9;13;15;14;16;5;18;17
1;3;2;6;11;4;12;8;10;7;9;13;15;14;16;5;18;17
1;3;2;5;11;4;15;8;6;9;10;14;12;13;16;7;18;17
1;3;2;5;10;4;15;8;6;9;11;14;12;13;16;7;18;17
1;3;4;6;11;2;13;9;5;7;10;12;14;15;16;8;18;17
1;3;4;5;10;2;11;12;6;7;8;13;14;15;16;9;18;17
1;2;3;5;7;4;12;13;6;9;8;11;14;15;16;10;18;17
1;2;3;5;7;4;12;13;6;9;8;11;14;15;16;10;18;17
1;2;3;5;7;4;8;11;6;10;9;12;15;16;14;13;17;18
1;2;3;4;7;5;8;10;6;9;11;12;15;14;16;13;17;18
1;2;3;4;7;5;8;11;6;9;12;10;14;15;16;13;17;18
1;2;3;4;7;5;8;11;6;9;12;10;14;15;16;13;17;18
1;2;3;4;7;5;8;11;6;9;12;10;14;15;16;13;17;18
1;2;3;4;7;5;8;11;6;9;12;10;14;15;16;13;17;18
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
